x,y
13,18
313,199
127,359
299,149
314,282
470,357
18,119
146,310
137,277
468,145
482,13
307,497
241,463
163,189
456,180
387,426
82,387
181,194
116,212
410,445
419,148
449,350
435,362
172,484
355,114
307,414
43,480
372,114
13,110
359,171
127,371
41,84
75,468
122,81
395,439
161,395
360,98
417,86
214,260
431,416
201,199
326,230
361,247
131,353
163,225
439,10
405,477
226,354
119,375
381,147
191,124
424,12
294,209
431,328
107,209
218,269
247,270
411,302
311,331
228,451
374,258
197,19
160,290
480,284
301,465
495,496
104,213
29,491
124,328
218,104
183,498
173,452
451,459
170,456
116,403
386,112
124,461
243,375
402,310
130,260
226,370
321,17
104,299
159,453
382,296
237,127
297,404
110,328
460,456
93,70
347,254
383,393
300,8
161,466
365,211
19,168
145,334
444,469
183,164
367,373
96,453
461,207
483,10
353,314
217,117
227,227
333,88
311,279
279,479
480,122
497,115
384,334
461,117
315,360
15,455
306,418
192,204
82,307
446,279
34,398
272,46
290,137
73,151
342,259
355,313
223,52
497,133
88,433
261,433
188,430
347,204
465,63
423,391
353,353
12,23
188,60
276,478
303,293
125,423
300,296
66,187
421,11
430,308
110,453
365,177
44,192
321,129
273,358
270,399
115,195
431,163
466,121
76,1
444,5
65,462
499,206
179,104
3,404
494,175
475,417
209,494
142,359
1,246
242,132
242,218
242,254
41,397
339,134
188,32
20,332
264,356
323,147
402,349
229,133
13,385
87,373
201,127
225,201
331,275
344,331
192,5
278,78
391,126
51,147
10,0
145,17
389,352
167,424
493,460
298,364
145,269
480,5
123,70
40,248
66,228
172,210
196,154
155,452
130,163
461,472
12,417
127,402
417,10
191,374
355,285
193,294
263,45
402,352
347,47
244,349
179,19
269,345
189,78
71,152
480,405
25,22
407,183
478,110
478,324
109,366
453,246
219,251
314,12
301,142
265,459
344,219
49,96
432,469
32,76
391,417
372,51
82,131
103,166
333,193
123,67
20,289
126,384
114,133
470,58
447,236
392,53
190,301
90,283
181,409
119,270
77,79
493,497
363,220
356,489
74,274
99,144
313,54
481,51
263,121
35,322
298,423
307,197
145,434
355,437
192,441
447,142
401,154
373,258
170,283
284,276
429,119
350,436
143,469
465,163
191,88
239,180
340,17
261,340
95,173
410,374
136,69
491,247
367,460
207,13
59,406
341,440
487,491
180,256
170,259
9,237
470,228
371,192
56,302
170,450
370,498
238,139
357,150
215,441
121,263
462,458
350,156
356,222
367,409
238,489
240,362
131,183
481,136
448,74
120,312
356,89
164,79
476,450
350,319
355,184
480,255
220,226
429,23
335,128
34,91
156,406
386,15
453,256
68,50
417,135
97,116
336,104
336,196
383,18
0,55
250,281
370,250
319,455
496,217
81,454
281,216
67,191
405,314
246,57
108,498
332,411
130,256
233,40
333,372
134,197
471,201
280,128
492,454
461,374
436,86
24,419
390,297
143,79
205,484
51,69
406,201
9,73
70,190
343,267
252,120
320,382
99,153
57,482
170,441
344,123
104,414
395,433
286,34
399,318
245,360
76,391
42,59
442,47
280,219
113,444
332,144
271,206
152,98
371,139
455,384
197,187
304,246
326,215
442,384
209,175
142,121
417,398
220,216
332,331
315,436
423,170
87,190
307,240
477,134
319,34
486,98
352,215
246,276
480,216
48,109
47,37
446,376
64,130
285,24
256,289
330,386
68,97
58,218
417,479
499,425
242,299
322,276
171,10
118,209
70,78
255,233
272,435
108,125
7,393
384,125
330,388
5,360
103,123
240,490
483,130
27,8
384,265
333,496
21,252
465,131
477,104
138,158
77,107
315,367
94,432
429,174
284,246
298,493
242,144
369,84
286,465
93,390
168,271
102,160
463,318
81,462
398,471
430,434
316,201
457,447
44,2
371,444
148,439
104,232
140,232
74,187
183,204
188,444
196,289
323,6
481,191
139,315
129,401
30,398
214,139
226,151
478,11
314,474
23,169
411,61
329,334
453,365
313,347
454,397
452,99
272,112
427,232
188,486
399,6
391,248
185,171
492,272
378,9
272,446
389,62
24,377
95,137
51,437
44,69
298,373
323,274
406,95
206,422
413,329
387,362
143,383
272,124
42,434
228,150
363,81
135,134
335,335
154,99
408,374
397,185
106,134
472,195
343,477
240,255
63,250
495,201
383,273
65,104
483,352
366,416
136,421
143,236
233,98
39,215
360,96
405,179
83,24
316,210
282,107
191,251
16,337
198,323
224,482
398,4
180,58
321,67
126,119
435,463
279,460
461,302
211,192
271,85
345,439
488,164
349,335
244,484
278,155
263,280
299,360
497,110
378,182
267,21
106,362
266,286
441,53
157,142
154,356
61,247
361,380
307,4
156,59
247,265
4,75
33,265
46,478
136,165
114,28
131,427
326,115
432,400
91,217
108,176
31,110
96,220
37,239
88,306
262,463
174,42
445,466
33,365
249,289
385,48
414,342
232,463
94,445
173,233
267,365
448,0
171,206
93,175
110,140
346,283
394,295
374,139
235,410
345,328
251,346
462,296
330,53
73,172
402,496
390,368
287,87
349,430
147,11
329,122
182,154
455,39
240,184
231,437
266,81
336,239
427,468
424,12
5,215
52,451
257,496
351,451
387,329
7,356
313,169
381,101
108,218
489,9
302,135
327,78
465,493
161,392
364,370
120,159
445,439
248,344
396,126
257,269
357,444
399,256
275,59
344,495
132,54
176,279
472,382
267,117
125,18
324,350
277,228
331,320
494,273
154,160
460,109
253,217
226,147
269,420
383,89
128,65
264,467
247,414
388,345
301,111
381,365
51,81
89,234
489,118
124,109
411,299
422,290
352,479
290,156
189,324
378,97
57,235
129,235
164,73
493,426
391,293
263,485
22,14
177,137
2,232
135,204
257,83
403,492
259,141
430,394
311,76
204,376
380,47
327,373
158,89
497,59
481,369
198,234
274,339
329,187
375,34
158,441
348,184
67,34
425,383
175,482
233,74
44,262
420,276
460,485
254,435
171,268
404,481
384,444
36,117
458,231
376,94
436,264
215,345
227,278
138,265
483,128
21,98
22,429
350,118
168,5
130,455
21,128
149,463
169,64
244,74
334,20
380,96
285,339
485,339
433,24
360,182
413,169
50,129
424,37
198,14
356,461
256,491
370,22
14,137
164,152
12,69
222,139
244,21
222,188
382,71
222,169
406,382
10,281
424,75
420,19
118,193
76,203
161,190
204,243
1,285
349,301
211,142
87,429
35,308
496,471
158,338
470,14
427,303
223,309
408,288
404,200
357,216
176,434
149,127
172,207
241,429
270,262
339,493
155,127
237,301
300,137
463,444
161,201
455,30
79,425
302,202
386,443
240,293
166,17
155,387
155,198
315,433
130,178
158,20
179,24
145,384
15,123
10,325
159,176
300,57
336,394
39,277
329,61
80,326
486,305
303,447
260,100
365,285
21,294
299,217
414,497
199,103
77,98
114,147
424,392
278,248
355,413
33,321
308,362
436,11
386,108
160,118
86,422
76,49
298,130
150,156
140,306
381,109
244,448
376,228
466,288
352,65
477,86
199,404
4,335
185,313
493,201
411,174
342,496
42,443
453,399
400,10
383,103
207,284
72,9
466,203
71,339
89,341
230,63
401,322
52,390
26,250
273,86
64,421
459,378
228,246
21,415
125,411
261,63
95,81
62,434
161,271
410,318
405,43
257,327
177,189
5,250
319,341
202,406
282,385
424,157
57,97
496,142
228,407
306,165
247,450
98,65
163,293
373,193
348,48
452,400
284,26
232,483
20,443
252,88
15,485
102,172
439,204
445,353
156,490
383,409
280,245
186,165
429,225
397,17
0,402
3,160
144,390
234,158
434,366
44,444
475,213
0,50
435,110
177,50
38,453
238,282
339,413
80,431
19,79
321,329
464,280
171,400
94,360
97,82
413,370
153,459
452,76
406,143
442,6
1,158
446,339
76,3
234,278
64,328
189,418
139,374
94,101
245,7
230,27
220,366
33,257
393,257
144,487
480,31
55,107
391,289
483,272
194,439
221,426
35,375
453,434
155,287
218,459
432,187
346,384
109,225
205,306
237,164
476,280
364,69
35,229
414,415
219,43
148,24
128,402
74,106
74,153
164,360
448,478
427,164
322,345
345,404
347,104
96,368
375,269
117,433
231,167
409,143
242,86
277,371
47,321
48,7
362,428
121,15
109,39
236,413
291,486
171,481
323,34
382,372
143,19
497,329
428,203
477,242
264,458
330,414
339,288
351,223
241,70
202,156
337,470
152,464
225,119
65,329
112,67
219,183
146,397
299,294
451,464
426,209
46,168
316,264
380,332
200,290
423,427
394,283
131,414
194,29
457,100
299,488
471,417
262,458
220,225
150,37
36,323
