x,y
86,3
22,323
0,119
56,295
171,277
110,323
109,118
131,48
268,150
382,425
349,38
426,488
186,312
19,84
307,38
330,403
209,157
211,383
33,218
426,208
197,392
276,371
384,340
135,168
179,311
191,191
429,303
78,2
140,38
401,80
450,248
113,133
385,256
353,147
235,419
285,6
469,276
305,291
25,405
139,99
390,170
83,50
463,169
246,2
18,62
43,4
324,34
138,299
47,244
115,287
225,121
466,464
96,19
303,151
321,140
483,424
377,374
396,471
401,258
256,31
119,192
243,346
35,156
436,467
99,134
64,485
270,231
350,176
220,309
357,324
481,150
18,169
42,455
467,3
376,224
6,227
230,338
277,441
74,216
365,284
199,2
278,170
93,91
277,24
330,449
340,393
268,371
289,453
61,120
142,410
191,427
135,431
100,429
308,138
439,497
132,131
296,375
451,75
333,485
287,243
128,374
258,355
18,223
1,75
194,430
235,330
331,132
249,348
76,390
201,452
71,158
357,243
119,441
421,140
273,119
378,222
452,260
48,175
268,138
11,178
142,108
238,459
30,162
115,475
71,77
6,365
121,383
298,445
349,216
0,306
172,159
413,286
63,437
452,267
235,136
421,165
52,138
367,471
46,135
309,313
135,133
382,176
388,430
313,229
84,479
149,166
80,100
115,127
349,73
379,40
346,295
244,244
91,71
307,184
420,155
262,34
389,288
392,11
263,148
335,486
385,139
15,198
19,11
64,229
323,479
265,404
415,269
298,149
478,446
214,55
276,179
71,293
467,255
352,361
384,408
57,161
377,465
288,368
358,70
401,263
157,176
269,255
227,325
141,7
266,173
335,433
239,111
430,487
435,60
172,133
413,236
52,197
104,279
442,163
165,199
17,401
490,398
25,298
480,300
294,287
129,129
234,159
168,181
88,181
23,117
181,296
90,189
254,41
68,55
161,245
129,196
282,475
316,86
383,142
10,412
156,185
63,26
494,125
158,153
278,48
336,170
32,489
130,67
481,68
3,35
246,429
182,180
239,464
117,0
296,142
493,228
490,315
69,296
278,229
464,161
254,263
93,238
469,406
152,385
338,132
193,426
64,92
204,324
428,428
412,197
411,180
88,242
190,295
22,431
247,420
379,372
76,261
462,346
328,73
217,23
169,321
24,226
13,354
419,41
465,286
62,90
174,130
394,331
30,315
454,40
312,35
61,103
80,278
475,94
116,163
155,359
86,32
133,84
170,456
241,40
57,57
351,141
129,433
261,366
135,359
306,370
174,278
443,81
193,25
470,480
382,47
260,466
272,446
139,480
335,131
486,230
369,337
189,36
408,419
457,65
314,430
318,466
394,429
349,83
141,20
489,489
239,447
318,200
112,171
395,179
421,51
317,230
421,214
265,174
141,52
200,94
334,439
142,352
460,119
339,22
222,118
356,397
479,432
323,118
19,266
249,420
208,276
89,185
6,112
328,198
169,484
470,243
314,492
303,239
174,46
483,328
262,351
312,432
79,326
119,162
344,73
0,256
84,474
178,346
125,403
168,231
223,180
249,55
346,202
37,268
167,282
83,126
366,296
347,433
472,41
236,469
284,215
49,205
237,30
187,359
462,380
330,4
139,131
3,414
204,216
243,366
394,427
74,209
281,162
107,400
406,3
17,139
235,183
340,324
325,121
258,472
474,356
98,245
26,358
283,234
55,261
372,361
362,291
236,1
298,15
251,459
474,463
181,355
0,478
384,195
395,28
41,91
321,258
43,151
58,52
441,228
8,400
26,375
245,453
255,487
216,103
365,202
172,418
28,152
372,92
342,247
77,224
420,378
62,172
454,419
55,483
271,323
247,262
114,240
421,439
212,19
146,447
399,465
168,414
23,325
257,40
393,484
28,148
225,316
483,184
38,153
317,373
28,280
484,335
14,143
227,214
485,13
73,272
23,412
44,278
383,427
71,30
325,300
341,264
266,265
231,198
143,426
49,379
383,469
232,239
126,232
271,33
403,466
87,499
72,134
8,108
159,264
480,398
450,469
332,431
199,60
493,403
106,472
98,120
473,257
324,46
101,277
247,233
25,268
96,419
118,479
293,35
8,451
282,211
201,116
213,34
427,496
222,256
110,363
130,203
373,333
295,300
389,406
39,428
0,152
180,473
175,173
463,445
191,323
382,21
457,297
330,484
229,3
135,419
94,40
290,296
328,145
385,13
482,486
430,462
473,344
81,149
333,285
152,491
214,468
262,395
357,462
101,2
120,177
147,395
114,476
447,52
387,362
355,330
143,276
405,258
63,67
221,36
307,42
127,242
0,11
18,301
289,344
443,253
112,283
200,54
456,483
245,383
209,167
250,428
34,266
32,78
266,168
90,187
318,102
285,443
287,396
428,121
413,466
224,280
235,73
327,334
261,19
307,335
43,396
213,355
259,155
365,213
155,225
44,489
204,491
19,143
267,0
274,56
393,312
94,221
153,482
393,258
149,215
202,424
145,19
423,81
179,28
339,411
15,301
377,388
302,453
437,76
432,206
394,339
380,403
369,337
164,430
83,335
334,320
460,414
482,205
108,157
209,46
437,453
171,135
367,221
403,224
450,469
105,96
124,261
128,5
366,59
378,235
394,231
145,17
115,64
271,138
69,369
113,394
419,194
407,162
10,126
304,359
107,331
35,22
319,292
219,476
494,340
268,135
466,265
151,476
343,272
213,277
142,4
131,54
165,479
463,437
459,233
326,439
106,486
322,174
443,7
359,304
221,147
5,456
432,150
289,140
74,47
120,35
13,114
482,23
365,316
